county,license_number,operation_type,establishment_type,entity_name,dba_name,street_number,street_name,address_line_2,address_line_3,city,state,zip_code,square_footage,location,geom,borough,street_name_normalized
Kings,727913,Store,JAC   ,LUCKY FAMILY DELI AND GROCERY COR,LUCKY FAMILY DELI AND G,2206A,FLATBUSH AVE               ,             ,               ,BROOKLYN          ,NY,11234,0,"2206A FLATBUSH AVE
BROOKLYN, NY 11234
(40.616189, -73.92978)",0101000020E61000009D071486817B52C0BF711BCADE4E4440,Brooklyn,
Kings,730570,Store,A     ,DOLGENCORP OF NEW YORK INC       ,DOLLAR GENERAL # 19214 ,1450,ROCKAWAY PARKWAY            ,             ,               ,BROOKLYN          ,NY,11236,0,"1450 ROCKAWAY PARKWAY
BROOKLYN, NY 11236
(40.644821, -73.901961)",0101000020E6100000F1FE4F30B97952C0C27174F087524440,Brooklyn,
Queens,670881,Store,JAC   ,NFN SUTYAHYO                     ,OK INDOFOOD STORE      ,88-15,JUSTICE AVE                ,             ,               ,ELMHURST          ,NY,11373,0,"88 15 JUSTICE AVE
ELMHURST, NY 11373
",0101000020E61000004380C5FEFF7752C01C075D08525E4440,Queens,
Kings,735101,Store,JAC   ,MP LORRAINE CORP                 ,ASSOCIATED SUPERMARKET ,58-60,LORRAINE STREET            ,             ,               ,BROOKLYN          ,NY,11231,0,"58 60 LORRAINE STREET
BROOKLYN, NY 11231
(40.674645, -74.007776)",0101000020E6100000A0B09815798052C0BECB99E956564440,Brooklyn,
New York,629360,Store,JAC   ,CHELSEA FRUIT&VEGETABLES INC     ,CAFE DELI-CIOUS        ,115,W 23RD ST                    ,             ,               ,NEW YORK          ,NY,10011,0,"115 W 23RD ST
NEW YORK, NY 10011
(40.743168, -73.993435)",0101000020E61000007194ACA1957F52C079BB32AC215F4440,Manhattan,
Queens,728388,Store,JAC   ,D & S CORONA DELI INC            ,D & S CORONA DELI      ,91-14,CORONA AVENUE              ,             ,               ,ELMHURST          ,NY,11373,0,"91 14 CORONA AVENUE
ELMHURST, NY 11373
",0101000020E61000003D975224E27752C036E90089095F4440,Queens,
Bronx,724310,Store,JAC   ,2056 DELI GROCERY CORP           ,2056 DELI GROCERY      ,1398,OGDEN AVE               ,             ,               ,BRONX             ,NY,10452,0,"1398 OGDEN AVE
BRONX, NY 10452
(40.842589, -73.92403)",0101000020E610000017B89B6C237B52C04141A68FD96B4440,Bronx,
Queens,734563,Store,JAC   ,KIARIS DELI & GROCERY CORP       ,KIARIS DELI & GROCERY  ,185-11,JAMAICA AVENUE            ,             ,               ,HOLLIS            ,NY,11423,0,"185 11 JAMAICA AVENUE
HOLLIS, NY 11423
",0101000020E6100000D2D33C92867152C0256BEE97D85A4440,Queens,
Kings,719928,Store,JAC   ,SALMAN DELI & GROCERY CORP       ,SALMAN DELI & GROCERY  ,2127,PITKIN AVE                  ,             ,               ,BROOKLYN          ,NY,11207,0,"2127 PITKIN AVE
BROOKLYN, NY 11207
(40.672197, -73.893825)",0101000020E610000034ECF957347952C0BCCFFFD70A564440,Brooklyn,
Queens,722316,Store,A     ,SUNNY BABY GROCERY CORP          ,SUNNY BABY GROCERY     ,56-16,WOODSIDE AVE               ,             ,               ,WOODSIDE          ,NY,11377,0,"56 16 WOODSIDE AVE
WOODSIDE, NY 11377
",0101000020E61000002A6A22071B7A52C08A20FEFC7F5F4440,Queens,
Bronx,721502,Store,JAC   ,CJS MARKET INC                   ,CJS MARKET             ,12-14,E BEDFORD PARK BLVD        ,             ,               ,BRONX             ,NY,10468,0,"12 14 E BEDFORD PARK BLVD
BRONX, NY 10468
(40.872825, -73.8887)",0101000020E61000001B987947E67852C06E32B0EAC16F4440,Bronx,
Bronx,732693,Store,JAC   ,ALL STAR GOURMET DELI CORP       ,ALL STAR GOURMET DELI  ,128,W FORDHAM ROAD               ,             ,               ,BRONX             ,NY,10468,0,"128 W FORDHAM ROAD
BRONX, NY 10468
(40.862808, -73.906978)",0101000020E6100000691EEA7D067A52C0F18438B86F6E4440,Bronx,
New York,730298,Store,JAC   ,MINI MART ON FIRST AVE INC       ,MINI MART ON FIRST AVE ,377,1ST AVE                  ,             ,               ,NEW YORK          ,NY,10010,0,"377 1ST AVE
NEW YORK, NY 10010
(40.736322, -73.978947)",0101000020E6100000A4D0B3CAA57E52C0C4FCE4413D5E4440,Manhattan,
New York,724587,Store,JAC   ,THE GREEN AT CANAL CORP          ,THE GREEN AT CANAL     ,386,CANAL ST                     ,             ,               ,NEW YORK          ,NY,10013,0,"386 CANAL ST
NEW YORK, NY 10013
(40.721481, -74.004793)",0101000020E6100000017B6A8C4D8052C080ACE402575C4440,Manhattan,
Queens,716970,Store,JAC   ,96 MEAT & PRODUCE CORP           ,MI TIERRA SUPERMARKET  ,96-17,NORTHERN BLVD              ,             ,               ,CORONA            ,NY,11368,0,"96 17 NORTHERN BLVD
CORONA, NY 11368
",0101000020E61000009DF17E96CE7752C0C340108EE4604440,Queens,
Bronx,720283,Store,JAC   ,EL FLACO GROCERY STORE NO 2 INC  ,EL FLACO GROCERY STORE ,804,E 178TH STREET               ,             ,               ,BRONX             ,NY,10460,0,"804 E 178TH STREET
BRONX, NY 10460
(40.8446, -73.887121)",0101000020E6100000DE709F5DC57852C0F2AF20AF196C4440,Bronx,
Bronx,732753,Store,JAC   ,A1 GOURMET DELI CORP             ,A1 GOURMET DELI        ,109,E 161ST ST                   ,             ,               ,BRONX             ,NY,10451,0,"109 E 161ST ST
BRONX, NY 10451
(40.827408, -73.924049)",0101000020E61000000A0BBB5F267B52C0CBC35A25E5694440,Bronx,
Queens,720022,Store,A     ,MR FISH INC                      ,MR FISH                ,169-41,137TH AVE                 ,             ,               ,JAMAICA           ,NY,11434,0,"169 41 137TH AVE
JAMAICA, NY 11434
",0101000020E61000002A4573A8547152C0697EEDC317564440,Queens,
Queens,724753,Store,JAC   ,KARZINKA US INC                  ,KARZINKA US            ,64-38,108TH STREET               ,             ,               ,FOREST HILLS      ,NY,11375,0,"64 38 108TH STREET
FOREST HILLS, NY 11375
",0101000020E61000004542621A597652C0DC8D6DB1B55D4440,Queens,
Queens,670927,Store,JAC   ,LADY M MANUFACTURING LLC         ,LADY M CONFECTIONS     ,9-08,43RD RD                     ,             ,               ,LONG ISLAND CITY  ,NY,11101,0,"9 08 43RD RD
LONG ISLAND CITY, NY 11101
",0101000020E6100000E330FE58CD7C52C05904412F3C604440,Queens,
New York,735055,Store,JAC   ,ORGANIC MARKET & JUICE CORP      ,HEALTH SOS  7/20/18    ,483,10TH AVENUE              ,             ,               ,NEW YORK          ,NY,10018,0,"483 10TH AVENUE
NEW YORK, NY 10018
(40.756495, -73.997763)",0101000020E610000059AE6184DC7F52C04C82CDBFD1604440,Manhattan,
Kings,718482,Store,JAC   ,SUNSET MINI MARKET CORP          ,SUNSET MINI MARKET     ,506,52ND ST                      ,             ,               ,BROOKLYN          ,NY,11220,0,"506 52ND ST
BROOKLYN, NY 11220
(40.643861, -74.011262)",0101000020E61000005B31794EB58052C060FCDB7E65524440,Brooklyn,
Kings,715200,Store,JAC   ,NEW CARROLL GROCERY & DELI CORP  ,NEW CARROLL GROCERY & D,142,CARROLL ST                   ,             ,               ,BROOKLYN          ,NY,11231,0,"142 CARROLL ST
BROOKLYN, NY 11231
(40.682087, -74.000213)",0101000020E61000007C9E4E98018052C02425A15B4D574440,Brooklyn,
New York,625176,Store,A     ,CVS ALBANY LLC                   ,CVS PHARMACY 02716     ,129,FULTON ST                ,             ,               ,NEW YORK          ,NY,10038,0,"129 FULTON ST
NEW YORK, NY 10038
(40.71014, -74.007564)",0101000020E61000009EB1BFCD7A8052C04A4CE2B8E45A4440,Manhattan,
Queens,720413,Store,JAC   ,ORIGINAL ESPINAL DELI II CORP    ,ORIGINAL ESPINAL DELI I,57-19,NORTHERN BLVD              ,             ,               ,WOODSIDE          ,NY,11377,0,"57 19 NORTHERN BLVD
WOODSIDE, NY 11377
",0101000020E61000009DCDDC9BD57952C0911DB77A77604440,Queens,
Bronx,728539,Store,JAC   ,TRIPLE PLAY DELI GROCERY CORP    ,TRIPLE PLAY DELI GROCER,917,OGDEN AVENUE                 ,             ,               ,BRONX             ,NY,10452,0,"917 OGDEN AVENUE
BRONX, NY 10452
(40.831145, -73.930399)",0101000020E610000084B8FBE78C7B52C0D4C83B835E6A4440,Bronx,
Bronx,720215,Store,JAC   ,MX INSIDED OUT DELI INC          ,MX INSIDE OUT DELI     ,1761,BRONXDALE AVE               ,             ,               ,BRONX             ,NY,10462,0,"1761 BRONXDALE AVE
BRONX, NY 10462
(40.84633, -73.85925)",0101000020E61000003570E046FC7652C0FEE6161A4E6C4440,Bronx,
Bronx,718738,Store,A     ,MEGA DISCOUNT CORP               ,MEGA DISCOUNT          ,1509,WESTCHESTER AVE         ,             ,               ,BRONX             ,NY,10472,0,"1509 WESTCHESTER AVE
BRONX, NY 10472
(40.828536, -73.879696)",0101000020E6100000CC5A819F4C7852C0B62310FF0D6A4440,Bronx,
New York,735122,Store,JAC   ,HARLEM EMPIRE DELI INC           ,HARLEM EMPIRE DELI     ,251,G WEST 135TH STREET          ,             ,               ,NEW YORK          ,NY,10030,0,"251 G WEST 135TH STREET
NEW YORK, NY 10030
(40.815936, -73.945202)",0101000020E61000006444048D897C52C0BE196B767A684440,Manhattan,
Queens,719648,Store,A     ,SUNSHINE SHOP INC                ,SUNSHINE SHOP          ,86-08,37TH AVE                   ,             ,               ,JACKSON HEIGHTS   ,NY,11372,0,"86 08 37TH AVE
JACKSON HEIGHTS, NY 11372
",0101000020E61000002B26AD76587852C0D1E19FE604604440,Queens,
New York,628279,Store,JAC   ,RSJ GROUP CORP                   ,ROSANJIN               ,1150,MADISON AVE         ,             ,               ,NEW YORK          ,NY,10028,50,"1150 MADISON AVE
NEW YORK, NY 10028
(40.780493, -73.95908)",0101000020E6100000B67D9ADA637D52C0C4AE6C6DE1634440,Manhattan,
Richmond,722198,Store,JAC   ,ROSE 1 CONVENIENCE INC           ,ROSE 1 CONVENIENCE     ,81,NEW DORP PLAZA                ,             ,               ,STATEN ISLAND     ,NY,10306,0,"81 NEW DORP PLAZA
STATEN ISLAND, NY 10306
",0101000020E6100000FCB7833B8D8752C071E32B455F494440,Staten Island,
Bronx,729537,Store,JAC   ,R&Z DELI GROCERY CORP            ,R&Z DELI GROCERY       ,1026,PROSPECT AVE                ,             ,               ,BRONX             ,NY,10459,0,"1026 PROSPECT AVE
BRONX, NY 10459
(40.824414, -73.899648)",0101000020E61000005A8A26FF937952C0B371301B85694440,Bronx,
Queens,719882,Store,JAC   ,J'S CONVENIENCE INC              ,7 ELEVEN STORE # 35859A,78-14,ROOSEVELT AVE          ,             ,               ,JACKSON HEIGHTS   ,NY,11372,0,"78 14 ROOSEVELT AVE
JACKSON HEIGHTS, NY 11372
",0101000020E6100000DC7F0BCBCB7852C062311E28A65F4440,Queens,
New York,629428,Store,JABC  ,ACITREZZA LLC                    ,AGATA&VALENTINA        ,64,UNIVERSITY PL             ,             ,               ,NEW YORK          ,NY,10003,0,"64 UNIVERSITY PL
NEW YORK, NY 10003
(40.732955, -73.993603)",0101000020E6100000703E8FB7977F52C0303B1663D15D4440,Manhattan,
New York,731454,Store,JAC   ,MAXWELL RESTAURANT GROUP INC     ,HOLEY CREAM            ,791,NINTH AVE              ,             ,               ,NEW YORK          ,NY,10019,0,"791 NINTH AVE
NEW YORK, NY 10019
(40.765159, -73.987713)",0101000020E6100000D80B69BB377F52C088CE831BEF614440,Manhattan,
Bronx,711475,Store,JAC   ,STOP ONE GROCERY & DELI INC      ,STOP ONE GROCERY & DELI,1101,ALLERTON AVE                ,             ,               ,BRONX             ,NY,10469,0,"1101 ALLERTON AVE
BRONX, NY 10469
(40.865435, -73.855537)",0101000020E6100000E80A569FC27652C003D84CF2C66E4440,Bronx,
Kings,719862,Store,JAC   ,KAVALOS NICKOLAS                 ,LIBERTY FARMS          ,1173,LIBERTY AVE                 ,             ,               ,BROOKLYN          ,NY,11208,0,"1173 LIBERTY AVE
BROOKLYN, NY 11208
(40.678852, -73.866063)",0101000020E6100000508ABB626B7752C050C46258E5564440,Brooklyn,
Queens,734976,Store,JAC   ,NUNEZ PEDRO A MARTE              ,PEDRO FRUITS & GROCERY ,71-28,FRESH POND ROAD            ,             ,               ,RIDGEWOOD         ,NY,11385,0,"71 28 FRESH POND ROAD
RIDGEWOOD, NY 11385
",0101000020E61000003CED86F3447952C031C9D214CB594440,Queens,
New York,732605,Store,JAC   ,370 GOURMET DELI CORP            ,370 GOURMET DELI       ,370,LENOX AVENUE             ,             ,               ,NEW YORK          ,NY,10027,0,"370 LENOX AVENUE
NEW YORK, NY 10027
(40.810176, -73.943637)",0101000020E61000009CA5866C677C52C0EC070787AF674440,Manhattan,
Bronx,706744,Store,JAC   ,DELIMANIA GROCERY CORP           ,DELIMANIA GROCERY      ,2780,KINGSBRIDGE TERRACE         ,             ,               ,BRONX             ,NY,10463,0,"2780 KINGSBRIDGE TERRACE
BRONX, NY 10463
(40.873025, -73.903073)",0101000020E6100000CB0CE094CE7952C0AD103EEBAD6F4440,Bronx,
New York,712532,Store,JAC   ,216 SAL DELI & GROCERY CORP      ,216 SAL DELI & GROCERY ,216,AVENUE B                     ,             ,               ,NEW YORK          ,NY,10009,0,"216 AVENUE
NEW YORK, NY 10009
(40.729991, -73.980668)",0101000020E61000001D31E7539F7E52C032BDC5C64A5D4440,Manhattan,
Bronx,721681,Store,JAC   ,149 STREET FOOD CORP             ,FINE FARE SUPERMARKET  ,459,EAST 149TH STREET        ,             ,               ,BRONX             ,NY,10455,0,"459 EAST 149TH STREET
BRONX, NY 10455
(40.815373, -73.916003)",0101000020E610000058F56FDF9E7A52C0A9F34AD05D684440,Bronx,
Bronx,710841,Store,JAC   ,MYKONOS FOOD CORP                ,MYKONOS FOOD           ,216,E 175TH ST                   ,             ,               ,BRONX             ,NY,10457,0,"216 E 175TH ST
BRONX, NY 10457
(40.846763, -73.906886)",0101000020E610000043DA3A880A7A52C0ACEC4037626C4440,Bronx,
Queens,638042,Store,JAC   ,CIBAO GROCERY CORP               ,CIBAO GROCERY          ,89-04,86TH ST                    ,             ,               ,WOODHAVEN         ,NY,11421,0,"89 04 86TH ST
WOODHAVEN, NY 11421
",0101000020E61000000D5F47E1D87652C02F4DED623C584440,Queens,
New York,731877,Store,A     ,GOOD NUT BAD NUT LLC             ,NUTS.COM               ,15,UNION SQUARE EAST       ,             ,               ,NEW YORK          ,NY,10003,0,"15 UNION SQUARE EAST
NEW YORK, NY 10003
(40.735032, -73.990373)",0101000020E610000071262667717F52C0F32D4E612E5E4440,Manhattan,
Bronx,717155,Store,JAC   ,DINEINFRESH INC                  ,PLATED                 ,511,BARRY ST               ,             ,               ,BRONX             ,NY,10474,0,"511 BARRY ST
BRONX, NY 10474
(40.809777, -73.895138)",0101000020E61000005FE58E4F487952C0CE1696DC9D674440,Bronx,
Kings,728872,Store,JAC   ,MUNCHIES DELI & GRILL CORP       ,MUNCHIES DELI & GRILL  ,42,WOODBINE ST                   ,             ,               ,BROOKLYN          ,NY,11221,0,"42 WOODBINE ST
BROOKLYN, NY 11221
(40.68988, -73.91936)",0101000020E6100000884AFEC3D87A52C0CC55FEFC48584440,Brooklyn,
Kings,716109,Store,JAC   ,RFPP LLC                         ,ROBERTAS FROZEN PIZZA  ,630,FLUSHING AVE           ,             ,               ,BROOKLYN          ,NY,11206,0,"630 FLUSHING AVE
BROOKLYN, NY 11206
(40.699997, -73.948214)",0101000020E6100000B57A1D65B37C52C0192AB96198594440,Brooklyn,
New York,728997,Store,A     ,ASIAN MARKET AT 3RD AVE          ,ASIA MARKET            ,214,3RD AVE                ,             ,               ,NEW YORK          ,NY,10003,0,"214 3RD AVE
NEW YORK, NY 10003
(40.736101, -73.985129)",0101000020E61000004BA9C7D60C7F52C04283B412385E4440,Manhattan,
Kings,671345,Store,A     ,FOLLETT HIGHER EDUC GROUP INC    ,BROOKLYN LAW SCHOOL BKS,1,BOERUM PLACE         ,             ,               ,BROOKLYN          ,NY,11201,0,"1 BOERUM PLACE
BROOKLYN, NY 11201
(40.691607, -73.98905)",0101000020E6100000AABF8FBF4C7F52C09B49DE3492584440,Brooklyn,
Queens,734181,Store,JAC   ,MALA & SONS GROCERY CORP         ,MALA & SONS GROCERY    ,107-18,101ST AVENUE              ,             ,               ,OZONE PARK        ,NY,11416,0,"107 18 101ST AVENUE
OZONE PARK, NY 11416
",0101000020E6100000887B1071787552C0590721CFF7574440,Queens,
Bronx,730328,Store,JAC   ,801 STAR ONE DELI & GROCERY INC  ,801 STAR ONE DELI & GRO,801,HUNTS POINT AVE              ,             ,               ,BRONX             ,NY,10474,0,"801 HUNTS POINT AVE
BRONX, NY 10474
(40.816942, -73.888241)",0101000020E61000007084FF4BD67852C0A3266F418C684440,Bronx,
Queens,725510,Store,JAC   ,HELLS KITCHEN HOT SAUCE LLC      ,HELLS KITCHEN HOT SAUCE,36-46,37TH STREET                ,             ,               ,LONG ISLAND CITY  ,NY,11101,0,"36 46 37TH STREET
LONG ISLAND CITY, NY 11101
",0101000020E610000090852EC13E7B52C04B40997570604440,Queens,
Richmond,708609,Store,JAC   ,J&J ISLAND GROCERY INC           ,J&J ISLAND GROCERY     ,1650,RICHMOND AVE STORE 9        ,             ,               ,STATEN ISLAND     ,NY,10314,0,"1650 RICHMOND AVE
STATEN ISLAND, NY 10314
(40.607882, -74.162466)",0101000020E61000005485F27D628A52C056A866BDD54D4440,Staten Island,
New York,732664,Store,JAC   ,YUMMILICIOUS DELI CORP           ,YUMMILICIOUS DELI      ,4119,BROADWAY STORE 3            ,             ,               ,NEW YORK          ,NY,10033,0,"4119 BROADWAY
NEW YORK, NY 10033
(40.845546, -73.938653)",0101000020E610000010DF29E7127C52C06464E5283B6C4440,Manhattan,
New York,717600,Store,JAC   ,LAZARO GROCERY STORE CORP        ,LAZARO GROCERY STORE   ,666,9TH AVE                      ,             ,               ,NEW YORK          ,NY,10036,0,"666 9TH AVE
NEW YORK, NY 10036
(40.761196, -73.990627)",0101000020E61000008835670D667F52C08DB6A1976E614440,Manhattan,
Kings,725410,Store,JAC   ,PAULA MARKET AND DELI CORP       ,PAULA MARKET AND DELI  ,276,HUMBOLDT STREET              ,             ,               ,BROOKLYN          ,NY,11206,0,"276 HUMBOLDT STREET
BROOKLYN, NY 11206
(40.71115, -73.942116)",0101000020E6100000D7A152984B7C52C0CC3897B0075B4440,Brooklyn,
Kings,733195,Store,JAC   ,CAFE LATTE LLC                   ,CAFE LATTE             ,83,FRANKLIN AVENUE           ,             ,               ,BROOKLYN          ,NY,11205,0,"83 FRANKLIN AVENUE
BROOKLYN, NY 11205
(40.696415, -73.958409)",0101000020E610000063AB7EBF557D52C01AF9C0761E594440,Brooklyn,
Kings,720855,Store,JAC   ,MY VICTORIA DELI INC             ,MY VICTORIA DELI       ,1537,DEKALB AVENUE               ,             ,               ,BROOKLYN          ,NY,11237,0,"1537 DEKALB AVENUE
BROOKLYN, NY 11237
(40.702385, -73.921086)",0101000020E6100000F4C9C11DF57A52C0B83AAD50E5594440,Brooklyn,
Bronx,725161,Store,JAC   ,ALEX GROCERY & DELI LLC          ,ALEX GROCERY & DELI    ,512A,WILLIS AVENUE               ,             ,               ,BRONX             ,NY,10455,0,"512A WILLIS AVENUE
BRONX, NY 10455
(40.815222, -73.918424)",0101000020E6100000FC551F0FC67A52C0A960C25C5A684440,Bronx,
Kings,718428,Store,JAC   ,DOM GROCERY CORP                 ,DOM GROCERY            ,2911,FULTON ST                   ,             ,               ,BROOKLYN          ,NY,11207,0,"2911 FULTON ST
BROOKLYN, NY 11207
(40.679152, -73.887119)",0101000020E610000064D39088C77852C0E4C0E346EE564440,Brooklyn,
Kings,731245,Store,JAC   ,OLINKA MEAT MARKET INC           ,OLINKA MEAT MARKET     ,273,NEPTUNE AVENUE               ,             ,               ,BROOKLYN          ,NY,11235,0,"273 NEPTUNE AVENUE
BROOKLYN, NY 11235
(40.581221, -73.963423)",0101000020E610000080C664ACA87D52C045FE56B7654A4440,Brooklyn,
Bronx,734591,Store,A     ,1611 FOOD MART INC               ,DOLLAR DEAL            ,1611,WESTCHESTER AVE             ,             ,               ,BRONX             ,NY,10472,0,"1611 WESTCHESTER AVE
BRONX, NY 10472
(40.829439, -73.874834)",0101000020E6100000BEB510FF007852C055133EFF286A4440,Bronx,
New York,702932,Store,JAC   ,GENJI LLC                        ,GENJI                  ,226,E 57TH ST              ,             ,               ,NEW YORK          ,NY,10022,40,"226 E 57TH ST
NEW YORK, NY 10022
(40.759851, -73.966582)",0101000020E6100000E81097A8DE7D52C0F405025B44614440,Manhattan,
New York,730234,Store,JAC   ,MOE GOURMET DELI CORP            ,MOE GOURMET DELI       ,2911,FREDERICK DOUGLASS BLVD ,             ,               ,NEW YORK          ,NY,10039,0,"2911 FREDERICK DOUGLASS BLVD
NEW YORK, NY 10039
(40.828615, -73.937699)",0101000020E6100000EF616E78037C52C01FB18FAE0F6A4440,Manhattan,
Queens,708780,Store,JAC   ,CHARLES FARM CORP                ,CHARLES FARM           ,3791,90TH ST                     ,             ,               ,JACKSON HEIGHTS   ,NY,11372,0,"3791 90TH ST
JACKSON HEIGHTS, NY 11372
(40.748517, -73.876499)",0101000020E6100000E5898868197852C067E5FB7EDA5F4440,Queens,
Bronx,730451,Store,JAC   ,FRESH AND DELISH GOURMET INC     ,FRESH AND DELISH GOURME,126,WEST 238TH STREET            ,             ,               ,BRONX             ,NY,10463,0,"126 WEST 238TH STREET
BRONX, NY 10463
(40.883071, -73.89784)",0101000020E61000000FA8F8AC747952C0317620BD11714440,Bronx,
Queens,727911,Store,JAC   ,GREENPOINT GRILL DELI AND GROCERY,GREENPOINT GRILL DELI A,4324,GREENPOINT AVE              ,             ,               ,SUNNYSIDE         ,NY,11104,0,"4324 GREENPOINT AVE
SUNNYSIDE, NY 11104
(40.741198, -73.92132)",0101000020E6100000E3A34A77FC7A52C05CE3E74ADA5E4440,Queens,
Queens,735091,Store,JAC   ,68 SUTPHIN DELI AND GRILL INC    ,68 SUTPHIN DELI AND GRI,8768,SUTPHIN BLVD                ,             ,               ,JAMAICA           ,NY,11435,0,"8768 SUTPHIN BLVD
JAMAICA, NY 11435
(40.704983, -73.809333)",0101000020E6100000CA0085B7CD7352C046578D10435A4440,Queens,
New York,720600,Store,JAC   ,SHERMAN GOURMET DELI INC         ,SHERMAN GOURMET DELI   ,64,SHERMAN AVE                   ,             ,               ,NEW YORK          ,NY,10040,0,"64 SHERMAN AVE
NEW YORK, NY 10040
(40.863184, -73.927083)",0101000020E6100000C14601BE557B52C025263EB47C6E4440,Manhattan,
Bronx,707032,Store,JAC   ,AAA GOURMET DELI INC             ,AAA GOURMET DELI       ,3001,EASTCHESTER RD              ,             ,               ,BRONX             ,NY,10469,0,"3001 EASTCHESTER RD
BRONX, NY 10469
(40.869619, -73.842755)",0101000020E6100000B5291D3BEF7552C0E6BE1F364D6F4440,Bronx,
New York,733022,Store,JAC   ,JP 144 GROCERY CORP              ,JP 144 GROCERY         ,1700,AMSTERDAM AVE               ,             ,               ,NEW YORK          ,NY,10031,0,"1700 AMSTERDAM AVE
NEW YORK, NY 10031
(40.824677, -73.948016)",0101000020E61000007CEF469AAC7C52C0608880B28E694440,Manhattan,
